0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0,0,0,0,0,0,0,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0,0,0,0,0,0,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0,0,0,0,0,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0,0,0,0,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0,0,0,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0,0,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0.01587736107309061,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0.015759442079521783,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0.015622194289818639,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0.01549973276322822,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0.015447443181818182,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0.0014331780723754925,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0.0014276791291157312,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0.0014212115828744004,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0.0014163052137735682,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0.0014144271570014145,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0.0018812147272238647,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0.0018790264853256978,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0,0.0018744979023475855,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001871824583296194,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018743305962156372,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003487020534676482,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003500243072435586,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035046728971962616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
